no_paths,no_points,width,height,drawing
22,435,127,96,bicycle
17,624,121,204,guitar
6,138,48,200,pencil
16,239,150,135,clock
21,806,210,222,car
7,233,248,125,fish
7,134,78,114,house
5,314,181,162,tree
7,301,75,83,bicycle
13,716,64,199,guitar
7,292,35,234,pencil
2,170,234,268,clock
10,667,266,72,car
5,332,239,76,fish
7,325,232,114,house
6,278,173,91,tree
10,340,192,38,bicycle
8,296,161,79,guitar
3,200,21,164,pencil
11,297,258,233,clock
3,738,289,112,car
5,624,291,103,fish
17,987,239,154,house
13,874,251,185,tree
14,1041,164,86,bicycle
24,2079,204,200,guitar
6,743,200,260,pencil
13,968,141,149,clock
17,647,337,105,car
6,385,272,139,fish
14,630,327,151,house
10,641,319,289,tree
12,541,193,98,bicycle
14,550,194,263,guitar
7,370,136,291,pencil
10,506,252,280,clock
44,3225,208,81,car
27,1567,273,41,fish
34,2595,199,107,house
63,2312,143,72,tree
39,2097,80,82,bicycle
27,1519,170,166,guitar
19,1231,188,153,pencil
6,656,163,162,clock
11,1316,333,73,car
9,882,184,112,fish
9,441,225,117,house
7,355,240,197,tree
25,1256,91,81,bicycle
31,1456,98,240,guitar
10,709,143,260,pencil
1,103,202,250,clock
5,248,174,98,car
3,138,187,134,fish
4,199,137,101,house
5,162,184,196,tree
17,411,93,85,bicycle
10,464,249,131,guitar
3,131,23,162,pencil
7,122,180,207,clock
15,1906,228,178,car
24,1395,150,58,fish
33,1483,199,166,house
52,2325,183,169,tree
146,3708,86,81,bicycle
28,1038,131,166,guitar
32,1110,93,100,pencil
62,2443,160,165,clock
21,1668,103,50,car
8,174,178,59,fish
40,2340,964,101,house
4,748,239,169,tree
53,8971,65,89,bicycle
34,5970,278,115,guitar
17,1988,74,261,pencil
77,2252,220,232,clock
17,1080,264,103,car
2,226,278,114,fish
8,550,210,162,house
29,1084,140,165,tree
23,930,138,112,bicycle
16,1114,261,182,guitar
12,553,218,238,pencil
23,1006,216,202,clock
12,511,335,82,car
6,509,304,87,fish
14,402,251,297,house
4,371,267,203,tree
8,472,159,140,bicycle
7,396,223,212,guitar
8,135,213,128,pencil
10,203,206,207,clock
1,395,304,119,car
5,304,155,105,fish
7,301,200,162,house
3,499,258,190,tree
16,784,88,78,bicycle
22,1415,217,190,guitar
12,333,167,148,pencil
14,722,192,200,clock
16,1311,364,111,car
13,912,337,172,fish
19,730,191,119,house
25,1105,289,161,tree
22,509,166,125,bicycle
14,778,271,236,guitar
9,465,110,159,pencil
13,489,209,184,clock
5,730,279,100,car
6,694,198,107,fish
5,776,239,206,house
1,598,303,377,tree
9,1172,227,106,bicycle
5,642,145,140,guitar
3,422,130,194,pencil
17,768,286,244,clock
8,1180,346,98,car
3,392,236,88,fish
3,300,208,143,house
20,539,128,241,tree
11,603,103,109,bicycle
10,956,317,101,guitar
5,411,98,222,pencil
17,606,259,224,clock
12,1194,319,117,car
6,923,350,208,fish
16,1053,379,201,house
10,760,234,173,tree
19,1749,171,112,bicycle
13,1684,391,216,guitar
9,819,263,54,pencil
18,962,237,213,clock
5,1302,306,184,car
19,1699,215,144,fish
16,764,242,225,house
2,753,323,367,tree
13,1237,200,129,bicycle
14,1889,298,229,guitar
10,988,149,136,pencil
20,778,128,121,clock
6,505,337,112,car
9,331,248,107,fish
4,142,225,137,house
8,360,353,213,tree
10,313,127,105,bicycle
2,261,246,154,guitar
4,85,152,163,pencil
2,58,176,177,clock
7,1019,261,110,car
7,910,190,62,fish
4,592,195,219,house
3,272,152,187,tree
7,867,64,71,bicycle
8,781,112,197,guitar
1,280,92,100,pencil
9,570,171,233,clock
7,721,252,102,car
6,517,251,147,fish
5,534,266,167,house
3,342,222,253,tree
8,531,206,120,bicycle
13,857,181,212,guitar
9,1044,287,297,pencil
12,712,205,192,clock
107,955,18,19,car
57,496,23,19,fish
111,1732,62,28,house
130,1615,55,51,tree
92,934,43,24,bicycle
19,1456,212,146,guitar
33,1345,248,110,pencil
31,1559,131,256,clock
1,255,244,175,car
1,148,185,105,fish
7,521,258,269,house
4,345,308,163,tree
25,548,105,66,bicycle
16,874,117,242,guitar
7,353,37,276,pencil
7,732,331,120,car
5,274,215,129,fish
9,631,242,284,house
8,586,221,185,tree
14,455,200,125,bicycle
8,1005,334,298,guitar
9,465,71,231,pencil
11,515,254,258,clock
6,911,257,95,car
2,297,338,183,fish
25,1840,188,100,house
13,1189,207,322,tree
15,733,95,129,bicycle
16,1184,361,92,guitar
11,876,319,26,pencil
18,785,188,225,clock
10,680,324,119,car
10,639,191,172,fish
10,462,236,234,house
13,474,322,348,tree
4,273,176,167,bicycle
9,279,223,327,guitar
4,166,148,306,pencil
12,371,215,202,clock
9,1381,338,119,car
2,219,180,93,fish
16,726,220,180,house
3,398,226,231,tree
11,472,79,90,bicycle
20,1414,246,255,guitar
12,1687,117,113,pencil
14,732,197,189,clock
6,177,87,76,car
6,394,131,44,fish
20,1000,170,160,house
11,422,156,166,tree
9,378,78,59,bicycle
11,620,133,84,guitar
7,357,23,232,pencil
9,333,91,99,clock
5,334,269,87,car
4,210,248,113,fish
1,145,213,195,house
9,473,259,147,tree
23,922,220,145,bicycle
15,1285,262,390,guitar
10,1023,212,215,pencil
23,1697,340,319,clock
5,649,286,109,car
11,591,108,72,fish
13,782,230,97,house
14,868,259,138,tree
12,876,190,84,bicycle
12,1240,245,218,guitar
5,267,178,157,pencil
9,432,191,164,clock
5,766,329,162,car
3,205,319,93,fish
5,613,300,264,house
1,471,241,303,tree
9,285,118,94,bicycle
4,347,283,185,guitar
2,207,261,196,pencil
2,98,197,206,clock
10,1292,290,147,car
5,299,122,93,fish
8,525,168,127,house
5,713,154,148,tree
7,481,126,90,bicycle
12,1215,224,222,guitar
10,728,145,198,pencil
20,686,254,230,clock
18,1010,282,80,car
21,662,188,64,fish
10,422,81,82,house
13,334,98,198,tree
9,586,96,84,bicycle
9,619,179,156,guitar
7,413,35,166,pencil
21,616,131,135,clock
6,420,304,120,car
3,173,255,143,fish
8,186,245,197,house
10,340,313,151,tree
8,269,156,83,bicycle
4,284,215,193,guitar
4,226,211,172,pencil
12,187,221,212,clock
6,909,367,177,car
7,518,298,153,fish
6,461,153,236,house
9,642,255,292,tree
12,485,136,171,bicycle
17,919,333,347,guitar
3,209,166,153,pencil
7,184,149,121,clock
16,831,283,59,car
15,504,225,43,fish
15,910,244,138,house
9,509,266,207,tree
13,648,200,125,bicycle
7,837,89,162,guitar
6,204,57,181,pencil
7,366,169,196,clock
9,1109,304,105,car
4,436,209,95,fish
7,487,230,160,house
3,259,235,203,tree
15,673,164,113,bicycle
7,787,194,202,guitar
4,380,184,239,pencil
9,510,204,187,clock
5,231,340,191,car
6,242,126,118,fish
6,184,178,230,house
9,331,236,213,tree
14,334,119,64,bicycle
16,722,171,255,guitar
7,86,97,119,pencil
5,65,131,147,clock
21,843,179,77,car
10,220,190,110,fish
25,1036,105,89,house
6,465,397,187,tree
26,1121,125,90,bicycle
17,1358,246,104,guitar
8,478,21,104,pencil
10,515,79,86,clock
5,549,283,147,car
2,380,255,130,fish
10,484,190,208,house
8,528,357,282,tree
9,545,186,120,bicycle
8,544,367,351,guitar
6,385,231,204,pencil
8,330,255,238,clock
11,320,199,46,car
4,135,174,55,fish
9,225,183,101,house
19,317,64,114,tree
13,863,134,101,bicycle
6,455,136,209,guitar
11,345,73,158,pencil
15,359,194,220,clock
6,717,329,144,car
3,200,215,89,fish
16,624,327,192,house
11,374,322,255,tree
12,323,114,123,bicycle
6,345,151,179,guitar
3,215,78,255,pencil
13,397,334,369,clock
6,1398,203,76,car
5,689,215,89,fish
5,505,205,251,house
2,385,278,210,tree
8,1174,163,116,bicycle
6,883,210,152,guitar
5,499,111,201,pencil
3,201,180,153,clock
9,876,348,129,car
4,718,319,111,fish
12,323,263,166,house
23,1474,138,333,tree
20,1065,125,80,bicycle
7,1365,347,227,guitar
2,270,259,186,pencil
18,1007,330,286,clock
29,1555,202,68,car
3,423,158,58,fish
14,498,174,96,house
15,531,169,108,tree
37,1794,137,65,bicycle
25,1282,128,209,guitar
8,255,35,126,pencil
2,125,167,150,clock
42,6522,215,145,car
11,1710,253,103,fish
12,1523,69,296,tree
35,3892,129,154,bicycle
23,2415,278,112,guitar
14,2572,194,210,pencil
22,2657,319,295,clock
23,3023,327,137,car
7,1070,248,96,fish
10,1799,172,208,house
4,1191,399,128,tree
11,1601,125,104,bicycle
3,1744,162,292,guitar
8,1026,205,44,pencil
9,1431,225,229,clock
7,1723,284,138,car
5,840,272,141,fish
25,2614,112,168,house
3,480,231,177,tree
28,3275,134,82,bicycle
20,3730,177,191,guitar
8,1657,219,262,pencil
20,2501,211,223,clock
25,1411,200,78,car
23,1016,223,106,fish
16,997,170,144,house
3,248,268,199,tree
63,2506,123,119,bicycle
41,1338,281,189,guitar
9,362,69,135,pencil
42,1809,231,228,clock
8,788,253,68,car
10,642,171,65,fish
7,477,184,112,house
3,305,212,162,tree
20,523,108,96,bicycle
5,686,359,83,guitar
1,44,77,111,pencil
4,148,299,171,clock
16,922,100,49,car
18,1148,266,143,fish
18,1743,178,114,house
27,1191,116,148,tree
12,772,126,79,bicycle
8,704,244,261,guitar
5,522,167,289,pencil
18,339,194,207,clock
6,636,265,118,car
8,353,240,90,fish
5,386,225,131,house
5,426,256,211,tree
6,391,144,74,bicycle
5,501,135,137,guitar
3,218,88,90,pencil
8,177,107,124,clock
14,496,220,70,car
4,357,258,71,fish
14,296,172,163,house
12,178,150,190,tree
7,150,173,79,bicycle
4,161,129,178,guitar
3,107,27,128,pencil
8,148,152,179,clock
12,172,119,102,car
13,521,126,123,fish
10,438,385,161,house
19,768,238,181,tree
16,333,104,113,bicycle
24,852,329,175,guitar
3,189,196,164,pencil
8,233,177,157,clock
14,1005,186,75,car
18,549,96,45,fish
11,649,183,75,house
10,367,91,132,tree
22,772,107,60,bicycle
8,1147,156,134,guitar
3,269,162,134,pencil
2,242,125,129,clock
5,325,274,140,car
4,373,215,73,fish
8,308,148,110,house
3,297,256,253,tree
6,189,183,58,bicycle
12,696,264,72,guitar
3,246,32,208,pencil
19,393,205,206,clock
6,601,181,237,car
8,459,180,72,fish
31,1800,205,124,house
7,517,76,198,tree
44,1455,107,81,bicycle
11,888,124,223,guitar
11,764,57,191,pencil
9,408,142,140,clock
9,1888,342,163,car
4,747,221,72,fish
11,1526,233,257,house
8,959,201,159,tree
13,1962,138,79,bicycle
21,2549,172,226,guitar
5,1001,176,156,pencil
2,379,94,94,clock
5,500,326,106,car
3,389,259,142,fish
7,571,163,253,house
3,306,255,327,tree
9,330,78,61,bicycle
9,482,282,98,guitar
17,282,219,178,pencil
9,360,374,176,clock
18,2068,375,86,car
13,1021,250,124,fish
36,1692,162,190,house
80,1769,390,392,tree
23,1002,197,128,bicycle
6,527,122,209,guitar
3,399,119,157,pencil
13,706,117,112,clock
7,1215,191,49,car
14,908,192,84,fish
1,160,105,149,house
18,1466,134,90,tree
10,1060,148,60,bicycle
4,441,170,62,guitar
3,292,22,120,pencil
2,139,110,98,clock
4,877,235,100,car
2,435,189,92,fish
6,354,47,93,house
2,656,111,133,tree
14,1063,92,60,bicycle
8,1412,116,193,guitar
4,394,30,139,pencil
3,426,121,135,clock
3,201,298,141,car
3,127,253,136,fish
6,378,222,179,house
17,664,116,194,tree
14,366,78,91,bicycle
6,343,291,233,guitar
3,114,167,148,pencil
2,49,148,203,clock
9,819,302,82,car
14,500,257,84,fish
9,427,208,124,house
12,574,87,163,tree
14,891,89,71,bicycle
27,1170,131,237,guitar
8,375,90,180,pencil
3,238,178,243,clock
10,1445,314,100,car
18,1805,339,173,fish
16,1856,260,205,house
12,1161,250,170,tree
8,1226,145,107,bicycle
14,1833,219,245,guitar
6,1006,269,264,pencil
9,913,276,237,clock
7,249,247,93,car
3,190,237,149,fish
8,381,248,172,house
9,138,126,243,tree
12,208,104,85,bicycle
7,296,252,82,guitar
7,278,203,240,pencil
7,132,188,201,clock
16,1025,276,102,car
28,1482,286,122,house
16,628,239,229,tree
33,1267,128,94,bicycle
15,747,98,224,guitar
8,574,154,146,pencil
15,212,125,131,clock
9,508,293,134,car
16,473,261,131,fish
18,551,234,138,house
11,608,327,265,tree
13,521,133,131,bicycle
9,385,321,114,guitar
16,262,194,232,clock
10,1139,295,116,car
13,539,165,89,fish
13,428,251,147,house
4,276,236,197,tree
20,495,132,83,bicycle
11,904,195,164,guitar
10,401,110,138,pencil
24,605,145,120,clock
3,292,228,84,car
3,222,207,96,fish
3,337,138,182,house
1,277,189,266,tree
7,251,112,104,bicycle
8,370,199,174,guitar
5,166,101,174,pencil
7,196,180,175,clock
8,556,245,77,car
7,529,82,84,fish
10,614,163,91,house
14,959,251,164,tree
30,1188,117,108,bicycle
18,828,153,187,guitar
13,889,172,208,pencil
5,617,265,266,clock
4,532,276,110,car
2,312,165,226,fish
15,942,251,190,house
1,370,171,339,tree
22,582,81,83,bicycle
12,815,179,331,guitar
4,266,89,325,pencil
4,166,254,203,clock
6,439,195,170,car
12,182,251,107,fish
23,443,256,226,house
3,468,354,243,tree
22,294,141,96,bicycle
14,373,320,276,guitar
12,197,280,246,pencil
9,234,168,259,clock
8,700,275,154,car
13,475,230,73,fish
3,325,197,187,house
5,212,237,230,tree
24,1501,214,148,bicycle
14,914,334,141,guitar
10,469,50,168,pencil
15,547,190,185,clock
8,506,279,93,car
8,263,64,67,fish
8,494,170,117,house
7,123,31,122,tree
14,410,72,51,bicycle
19,583,107,80,guitar
11,345,116,74,pencil
7,267,192,168,clock
18,368,154,89,car
5,146,174,118,fish
5,272,147,186,house
4,184,218,160,tree
18,248,140,88,bicycle
1,244,171,210,guitar
3,154,95,156,pencil
5,211,137,127,clock
19,624,208,90,car
18,535,212,77,fish
16,533,249,150,house
35,1300,231,206,tree
21,514,137,79,bicycle
21,453,211,153,guitar
11,410,54,207,pencil
10,356,156,180,clock
86,6592,332,115,car
33,1959,272,132,fish
30,1750,240,154,house
36,2418,186,148,tree
64,2975,132,136,bicycle
30,2170,162,267,guitar
12,1250,248,202,pencil
22,1619,237,252,clock
7,321,194,52,car
6,273,197,70,fish
13,379,236,151,house
3,181,227,186,tree
5,166,125,70,bicycle
7,393,182,154,guitar
3,123,196,210,clock
5,474,325,148,car
5,418,313,125,fish
17,558,260,172,house
3,272,315,239,tree
13,558,145,128,bicycle
7,610,328,300,guitar
8,367,202,246,pencil
12,317,277,241,clock
4,819,351,147,car
7,667,270,160,fish
5,522,206,244,house
6,533,158,209,tree
19,1124,99,80,bicycle
19,2275,272,187,guitar
7,469,280,23,pencil
24,906,205,174,clock
10,575,138,70,car
3,181,181,51,fish
12,431,152,61,house
5,519,208,203,tree
12,458,118,112,bicycle
15,775,340,142,guitar
9,476,70,163,pencil
2,362,302,253,clock
10,1146,292,110,car
8,578,299,107,fish
6,348,209,181,house
3,188,207,176,tree
7,460,93,100,bicycle
8,876,304,174,guitar
7,381,149,197,pencil
34,830,223,189,clock
16,607,137,73,car
5,542,237,125,fish
15,303,161,81,house
6,336,169,231,tree
14,342,114,91,bicycle
4,232,236,188,guitar
5,218,109,205,pencil
3,67,209,234,clock
4,718,264,66,car
2,772,281,78,fish
20,1335,392,165,house
18,2013,263,216,tree
23,1132,88,94,bicycle
16,1199,184,243,guitar
12,788,156,143,pencil
15,354,206,218,clock
6,716,232,85,car
22,678,245,178,fish
10,445,202,124,house
3,259,194,159,tree
15,460,69,62,bicycle
4,517,237,75,guitar
5,151,86,158,pencil
12,173,158,134,clock
11,638,172,80,car
14,532,123,60,fish
26,898,111,120,house
4,552,143,235,tree
17,975,157,105,bicycle
21,907,80,100,guitar
8,642,42,171,pencil
6,283,132,133,clock
8,123,237,121,car
19,206,285,76,fish
18,246,260,121,house
15,157,170,159,tree
12,204,167,89,bicycle
18,230,173,171,guitar
7,56,81,183,pencil
9,83,159,163,clock
17,1168,299,102,car
8,405,195,62,fish
6,527,226,281,house
2,221,173,148,tree
14,487,79,89,bicycle
7,498,193,154,guitar
6,152,154,234,pencil
4,183,238,256,clock
3,294,162,247,car
6,160,53,80,fish
2,455,168,109,house
2,103,80,108,tree
5,390,198,123,bicycle
7,324,295,350,guitar
3,253,118,180,pencil
2,120,233,190,clock
7,674,279,86,car
3,327,75,126,fish
5,294,155,98,house
3,238,225,205,tree
10,301,92,84,bicycle
9,281,148,75,guitar
3,203,37,142,pencil
14,220,113,112,clock
7,416,205,76,car
4,162,275,93,fish
8,243,217,168,house
3,216,198,219,tree
3,457,310,177,bicycle
1,423,261,89,guitar
2,259,46,308,pencil
11,966,321,90,car
7,368,290,95,fish
8,422,249,179,house
5,429,153,153,tree
22,668,162,66,bicycle
12,805,381,120,guitar
2,323,182,254,pencil
16,388,175,135,clock
16,791,256,100,car
8,485,110,232,fish
10,371,244,131,house
4,172,151,170,tree
14,308,168,59,bicycle
13,280,136,79,guitar
7,173,28,175,pencil
18,329,117,128,clock
9,1285,287,79,car
8,980,225,81,fish
24,1711,173,103,house
11,1420,313,253,tree
20,1301,99,101,bicycle
21,1674,202,218,guitar
15,887,22,206,pencil
20,1332,242,216,clock
18,1078,283,58,car
14,504,186,127,fish
14,641,178,140,house
16,625,387,168,tree
30,1284,141,125,bicycle
9,937,165,297,guitar
5,453,238,235,pencil
10,480,169,173,clock
6,675,246,101,car
4,529,208,109,fish
8,757,170,116,house
1,563,137,226,tree
11,787,116,65,bicycle
8,1182,269,269,guitar
6,395,160,213,pencil
9,903,232,215,clock
6,214,150,93,car
21,218,181,84,fish
2,129,140,128,tree
3,67,71,41,bicycle
12,284,150,88,guitar
9,140,179,143,pencil
6,135,179,143,clock
8,1561,304,132,car
7,801,235,81,fish
13,1328,207,130,house
3,973,291,203,tree
11,1063,182,142,bicycle
7,897,223,91,guitar
4,571,211,217,pencil
14,628,239,243,clock
23,1474,145,78,car
13,1248,150,203,house
13,1387,124,116,tree
19,1707,147,69,bicycle
22,2929,242,150,guitar
6,468,37,157,pencil
29,2516,327,371,clock
18,750,88,46,car
15,613,213,57,fish
30,1512,224,139,house
5,371,343,240,tree
31,1552,181,86,bicycle
8,767,287,111,guitar
26,1026,29,233,pencil
16,708,293,258,clock
6,957,296,105,car
2,497,205,101,fish
16,1209,259,192,house
6,1010,119,154,tree
15,974,61,39,bicycle
13,1303,101,145,guitar
5,374,24,104,pencil
15,500,189,225,clock
6,860,276,101,car
6,369,211,96,fish
9,569,200,135,house
9,436,229,146,tree
21,991,150,107,bicycle
16,1042,248,119,guitar
7,354,25,213,pencil
16,360,210,203,clock
17,785,225,86,car
14,436,228,129,fish
15,480,93,91,house
7,479,127,126,tree
14,695,148,101,bicycle
11,783,148,178,guitar
9,356,35,197,pencil
9,330,295,278,clock
11,881,311,105,car
6,801,205,64,fish
10,389,115,86,house
5,459,279,220,tree
9,540,199,75,bicycle
10,667,104,136,guitar
10,376,143,168,pencil
4,371,204,195,clock
6,930,53,85,car
9,1072,93,85,fish
18,1774,142,247,house
4,793,207,256,tree
6,640,145,144,bicycle
4,501,124,159,guitar
3,188,198,342,pencil
8,1068,116,160,clock
7,1108,342,95,car
5,670,279,118,fish
12,583,200,110,house
4,566,281,216,tree
11,538,95,63,bicycle
9,898,201,180,guitar
7,491,193,146,pencil
20,825,343,342,clock
4,653,309,72,car
8,415,258,85,fish
6,299,150,114,house
6,520,224,212,tree
21,650,203,155,bicycle
6,563,286,228,guitar
3,264,57,277,pencil
7,246,197,181,clock
1,277,302,167,car
5,207,228,154,fish
7,235,241,268,house
3,275,298,217,tree
14,219,149,103,bicycle
8,430,228,135,guitar
6,116,178,193,pencil
3,87,205,210,clock
15,1269,232,87,car
9,840,282,161,fish
8,726,203,156,house
3,266,253,185,tree
6,781,228,140,bicycle
6,1158,219,340,guitar
3,317,177,227,pencil
14,423,198,196,clock
23,1031,145,69,car
6,471,303,123,fish
11,574,140,113,house
9,668,241,184,tree
7,538,183,106,bicycle
22,1068,331,146,guitar
7,257,139,97,pencil
30,1035,195,173,clock
10,5545,380,155,car
6,2687,365,248,fish
2,2829,399,388,house
3,1559,398,357,tree
1,2009,341,192,bicycle
7,2025,398,196,guitar
5,487,384,43,pencil
7,405,301,255,clock
6,664,300,155,car
5,415,207,172,fish
10,436,123,250,house
4,342,126,150,tree
10,280,130,99,bicycle
8,308,172,107,guitar
9,253,197,37,pencil
3,85,156,165,clock
3,232,174,57,car
4,179,139,68,fish
3,152,165,172,house
3,242,183,155,tree
5,162,113,44,bicycle
6,268,188,64,guitar
2,139,22,136,pencil
14,178,193,236,clock
10,794,177,38,car
7,519,171,61,fish
23,1126,179,133,house
22,1919,150,200,tree
14,779,114,45,bicycle
13,1168,195,52,guitar
7,303,23,122,pencil
21,1344,168,131,clock
5,434,310,145,car
2,137,272,93,fish
9,281,223,244,house
3,172,296,216,tree
9,348,161,86,bicycle
7,510,148,198,guitar
9,236,168,138,pencil
3,68,168,151,clock
9,483,180,68,car
8,615,174,65,fish
11,467,245,133,house
3,222,200,173,tree
5,386,185,119,bicycle
12,780,187,242,guitar
12,454,92,194,pencil
17,565,188,190,clock
4,922,240,102,car
10,1292,324,134,fish
16,1755,231,140,house
4,1038,192,237,tree
15,1826,164,106,bicycle
9,1679,304,316,guitar
5,757,156,151,pencil
18,983,87,195,clock
18,835,150,184,car
10,799,313,125,fish
37,1191,229,99,house
3,797,213,310,tree
19,1024,170,140,bicycle
9,533,214,123,guitar
10,287,119,216,pencil
13,541,227,253,clock
5,878,322,131,car
5,443,226,100,fish
2,429,254,101,house
3,343,213,163,tree
16,1205,83,83,bicycle
6,490,151,118,guitar
3,287,177,190,pencil
2,208,164,182,clock
13,3071,257,67,car
5,524,265,122,fish
5,693,252,164,house
3,388,315,252,tree
9,907,262,128,bicycle
8,929,259,226,guitar
5,301,121,237,pencil
6,323,248,234,clock
17,854,136,56,car
6,635,256,110,fish
12,720,227,138,house
27,686,84,124,tree
21,1278,125,101,bicycle
8,875,291,174,guitar
7,193,109,73,pencil
13,541,176,165,clock
5,411,351,124,car
8,359,245,47,fish
13,417,232,174,house
5,423,190,338,tree
18,449,330,109,bicycle
11,311,356,177,guitar
5,135,316,125,pencil
5,122,220,199,clock
12,903,326,115,car
15,428,149,163,fish
13,436,244,186,house
4,232,298,177,tree
7,316,183,134,bicycle
6,273,285,288,guitar
32,389,144,185,pencil
5,69,172,178,clock
5,888,164,58,car
3,623,83,47,fish
4,732,126,143,house
3,712,153,148,tree
12,1103,55,41,bicycle
11,1362,92,152,guitar
6,493,13,99,pencil
7,495,106,121,clock
13,970,335,107,car
3,373,205,113,fish
9,545,171,147,house
3,461,229,199,tree
15,676,160,135,bicycle
6,863,311,140,guitar
5,286,151,20,pencil
15,465,169,144,clock
5,593,280,134,car
4,339,271,88,fish
19,604,208,99,house
2,496,67,242,tree
9,495,150,91,bicycle
10,735,285,170,guitar
6,350,241,182,pencil
4,279,283,274,clock
15,678,262,56,car
10,440,123,63,fish
14,666,204,131,house
15,670,316,215,tree
27,1112,141,62,bicycle
29,786,136,95,guitar
13,346,22,173,pencil
18,653,239,222,clock
14,822,220,60,car
6,371,190,78,fish
9,425,80,70,house
4,516,143,124,tree
26,933,86,71,bicycle
8,657,177,113,guitar
11,388,121,69,pencil
21,383,224,194,clock
10,926,272,115,car
4,581,259,79,fish
1,735,260,198,house
2,250,188,118,tree
6,325,174,118,bicycle
11,802,183,145,guitar
4,580,83,247,pencil
3,240,180,209,clock
18,748,111,39,car
16,622,192,65,fish
23,864,182,155,house
6,910,290,209,tree
22,847,109,89,bicycle
21,1659,119,294,guitar
16,467,238,21,pencil
69,1588,157,265,clock
16,675,339,95,car
20,563,275,156,fish
12,598,299,135,house
11,347,215,241,tree
27,1363,135,106,bicycle
5,396,185,207,guitar
23,1000,225,209,pencil
19,630,212,172,clock
15,1658,214,186,house
5,830,263,209,tree
31,1745,131,114,bicycle
10,1272,225,270,guitar
12,521,207,203,pencil
8,765,172,184,clock
16,649,236,114,car
27,281,86,90,fish
8,221,190,169,house
14,328,243,207,tree
30,265,67,58,bicycle
9,723,132,301,guitar
23,401,202,236,clock
16,1349,260,60,car
7,591,156,58,fish
12,994,185,115,house
13,906,175,220,tree
13,1037,111,131,bicycle
9,1277,273,221,guitar
6,740,244,275,pencil
14,473,241,236,clock
5,631,178,57,car
2,196,166,28,fish
6,387,151,130,house
17,721,267,166,tree
7,327,137,87,bicycle
6,613,245,138,guitar
5,320,178,205,pencil
2,168,244,249,clock
12,520,283,110,car
5,159,110,78,fish
2,150,98,80,tree
11,518,125,100,bicycle
8,350,113,74,guitar
7,192,108,98,pencil
4,156,160,154,clock
6,266,283,159,car
12,947,209,204,fish
39,1603,258,134,house
37,1479,90,173,tree
24,1305,223,148,bicycle
44,1948,228,245,guitar
13,643,101,118,pencil
13,749,205,190,clock
7,641,127,61,car
6,395,60,67,fish
25,1411,138,140,house
7,1392,174,255,tree
37,1133,134,111,bicycle
13,716,74,185,guitar
1,156,19,149,pencil
16,520,178,195,clock
7,271,340,124,car
3,47,204,157,fish
7,109,243,182,house
2,162,282,366,tree
7,72,117,149,bicycle
6,62,243,252,guitar
3,30,98,206,pencil
5,39,262,187,clock
8,861,343,141,car
3,433,332,174,fish
5,477,292,236,house
25,429,105,286,tree
10,728,190,102,bicycle
4,685,334,135,guitar
2,205,28,218,pencil
2,144,158,187,clock
3,730,232,134,car
8,658,232,136,fish
5,368,287,173,house
6,465,180,116,tree
19,2974,106,77,bicycle
7,2098,116,116,guitar
7,757,47,107,pencil
3,825,133,128,clock
12,1725,369,121,car
65,1329,341,57,fish
26,504,223,134,house
16,613,231,200,tree
32,656,99,74,bicycle
25,878,195,123,guitar
12,373,194,135,pencil
17,315,216,212,clock
3,261,204,117,car
3,311,232,145,fish
6,307,229,218,house
1,262,235,287,tree
14,333,93,72,bicycle
19,732,280,76,guitar
2,252,73,277,pencil
8,241,235,259,clock
6,417,233,132,car
3,588,318,98,fish
5,850,333,267,house
2,292,209,160,tree
18,338,77,55,bicycle
5,281,225,176,guitar
3,402,179,152,pencil
6,578,236,213,clock
21,448,250,61,car
10,367,248,138,fish
12,809,203,244,house
3,168,260,234,tree
24,610,141,82,bicycle
18,585,197,75,guitar
8,286,48,234,pencil
18,337,181,152,clock
23,1016,339,68,car
28,1426,195,42,fish
43,1490,172,243,house
8,483,175,267,tree
13,398,179,99,bicycle
7,1464,282,275,guitar
5,371,203,138,pencil
12,424,177,182,clock
11,1185,296,117,car
5,554,193,114,fish
6,481,189,110,house
3,375,216,179,tree
7,434,175,115,bicycle
9,681,126,201,guitar
2,266,48,209,pencil
5,254,202,220,clock
16,1109,259,65,car
7,892,350,84,fish
16,1266,105,120,house
16,795,194,238,tree
24,1948,197,56,bicycle
16,912,223,122,guitar
2,282,24,242,pencil
8,293,162,161,clock
12,524,244,149,car
9,182,196,120,fish
15,492,154,129,house
3,288,196,197,tree
39,820,121,74,bicycle
18,1010,158,249,guitar
8,534,201,28,pencil
18,311,231,210,clock
5,993,211,86,car
3,648,206,82,fish
9,425,122,86,house
3,479,99,117,tree
19,851,96,70,bicycle
10,1046,105,126,guitar
4,543,125,134,pencil
21,1327,181,177,clock
8,743,197,61,car
8,570,165,66,fish
8,440,78,47,house
8,495,79,74,tree
10,453,58,33,bicycle
18,1000,62,126,guitar
5,434,129,111,pencil
5,351,88,86,clock
11,860,185,151,car
7,569,271,124,fish
4,403,311,210,house
6,307,297,230,tree
8,338,78,113,bicycle
4,347,133,180,guitar
3,196,48,246,pencil
5,137,201,146,clock
5,884,325,103,car
1,234,200,125,fish
6,858,139,147,house
3,492,192,160,tree
10,588,97,88,bicycle
10,1150,231,151,guitar
3,386,198,148,pencil
3,201,230,225,clock
13,831,172,169,car
12,635,85,161,fish
13,679,167,141,house
19,1187,110,174,tree
